"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 05 09:47:16 GMT 2021","Tue Jan 05 09:47:27 GMT 2021","10390","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Jan 05 09:47:13 GMT 2021","Tue Jan 05 09:47:16 GMT 2021","3465","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Jan 05 09:47:04 GMT 2021","Tue Jan 05 09:47:13 GMT 2021","8473","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Jan 05 09:46:49 GMT 2021","Tue Jan 05 09:47:04 GMT 2021","15257","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
