"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 30 18:18:16 GMT 2020","Wed Dec 30 18:18:28 GMT 2020","11843","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 30 18:18:12 GMT 2020","Wed Dec 30 18:18:16 GMT 2020","3914","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 30 18:18:02 GMT 2020","Wed Dec 30 18:18:12 GMT 2020","10455","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 30 18:17:31 GMT 2020","Wed Dec 30 18:18:02 GMT 2020","30972","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
