"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 30 17:56:54 GMT 2020","Wed Dec 30 17:57:06 GMT 2020","11807","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 30 17:56:25 GMT 2020","Wed Dec 30 17:56:40 GMT 2020","14564","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 30 17:56:50 GMT 2020","Wed Dec 30 17:56:54 GMT 2020","3698","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 30 17:56:40 GMT 2020","Wed Dec 30 17:56:50 GMT 2020","10095","Gradle suite","Gradle test","com.trello.trello.runner.Runner","com.trello.trello.runner.Runner","runScenario","Runs Cucumber Scenarios",""
